,R1,R2,R3,R4,R5,R6,R7
3648,3,9,11,16,30,39,23
3647,3,4,13,15,16,35,28
3646,14,21,28,30,32,36,13
3645,14,15,18,23,34,38,10
3644,2,3,4,17,31,33,1
3643,11,15,17,21,28,29,12
3642,7,21,30,32,33,36,23
3641,8,13,16,21,22,32,15
3640,2,11,12,16,18,32,35
3639,8,11,17,27,30,38,4
3638,5,6,10,22,30,32,14
3637,4,18,19,23,25,27,20
3636,2,10,22,28,29,37,12
3635,2,17,18,19,28,29,12
3634,2,12,20,24,28,33,29
3633,9,10,11,13,20,24,8
3632,2,7,8,14,26,31,11
3631,10,14,18,21,27,36,6
3630,1,18,21,22,32,33,16
3629,5,14,16,22,31,33,39
3628,7,9,13,22,27,35,14
3627,15,17,23,24,26,37,18
3626,5,6,15,17,24,31,3
3625,1,5,7,21,35,38,23
3624,2,10,14,16,17,32,1
3623,14,19,23,25,32,35,39
3622,1,2,4,29,34,35,30
3621,15,16,17,23,27,31,37
3620,2,7,12,14,23,35,22
3619,1,5,15,16,33,36,18
3618,7,9,13,14,21,35,25
3617,15,16,26,30,33,34,10
3616,11,13,17,22,35,38,5
3615,12,14,23,27,30,36,18
3614,2,3,17,20,26,37,12
3613,2,5,13,22,28,38,20
3612,7,18,21,28,36,39,6
3611,3,7,19,20,22,27,10
3610,4,12,23,28,36,37,21
3609,9,18,21,26,29,32,16
3608,11,13,14,24,31,33,20
3607,7,9,10,17,22,23,33
3606,2,7,11,19,27,39,28
3605,1,11,18,24,35,37,19
3604,8,22,23,25,35,37,29
3603,2,3,5,8,33,36,15
3602,2,3,16,22,27,29,14
3601,7,10,11,24,27,30,22
3600,3,10,12,15,17,24,9
3599,16,17,24,27,37,38,1
3598,2,19,20,26,34,38,37
3597,2,20,22,23,27,37,39
3596,7,8,10,14,26,31,12
3595,4,15,16,20,29,37,13
3594,9,11,14,19,30,35,38
3593,9,19,24,25,26,34,28
3592,1,21,24,35,38,39,26
3591,9,16,21,28,30,39,25
3590,5,14,27,34,36,38,4
3589,9,12,15,26,34,37,17
3588,1,7,9,14,23,31,2
3587,3,6,17,22,27,32,16
3586,2,10,11,28,29,37,33
3585,5,14,15,20,29,37,35
3584,4,8,12,26,28,37,5
3583,12,16,24,29,34,36,1
3582,5,11,22,24,33,38,2
3581,1,3,12,15,20,26,25
3580,11,13,19,25,28,38,7
3579,4,11,19,21,29,31,25
3578,5,18,20,28,34,39,11
3577,8,9,11,21,32,37,38
3576,6,11,16,19,36,39,8
3575,15,17,28,29,30,39,8
3574,1,21,23,36,37,38,12
3573,6,12,16,20,32,34,28
3572,4,6,25,30,31,38,33
3571,3,5,6,9,12,39,30
3570,1,6,10,11,36,38,28
3569,4,5,6,18,34,36,32
3568,8,16,20,27,31,33,10
3567,6,17,22,27,28,33,29
3566,1,5,6,29,36,39,13
3565,4,8,25,34,35,39,19
3564,7,17,29,32,33,37,34
3563,5,12,15,16,31,32,1
3562,3,21,27,30,35,37,15
3561,1,7,18,27,34,37,14
3560,4,7,15,33,35,37,26
3559,1,7,15,22,27,38,17
